,Load_Main,Load_AreaA,Load_AreaB,Load_AreaC,Temperature
2023-01-01 17:30:00,270.928,198.307,212.145,208.330,220.190
2023-01-01 17:45:00,280.109,175.138,307.661,252.536,219.835
2023-01-01 18:00:00,238.363,147.265,319.899,205.081,228.111
2023-01-01 18:15:00,252.822,123.688,305.103,244.596,204.204
2023-01-01 18:30:00,162.738,127.663,152.809,131.922,158.586
2023-01-01 18:45:00,209.295,144.101,228.289,173.852,186.612
2023-01-01 19:00:00,180.999,60.499,189.055,175.241,218.323
2023-01-01 19:15:00,160.397,115.384,218.700,157.457,173.711
2023-01-01 19:30:00,154.601,90.461,208.787,119.213,190.695
2023-01-01 19:45:00,107.130,89.033,98.207,111.512,157.293
2023-01-01 20:00:00,127.866,80.485,147.362,171.684,167.597
2023-01-01 20:15:00,135.980,68.277,120.096,114.728,199.128
2023-01-01 20:30:00,154.958,143.949,158.150,115.535,184.261
2023-01-01 20:45:00,114.003,113.401,112.231,106.102,195.610
2023-01-01 21:00:00,116.754,71.248,111.795,77.016,201.603
2023-01-01 21:15:00,120.662,87.746,150.480,105.317,196.780
2023-01-01 21:30:00,166.305,96.618,234.424,141.890,177.165
2023-01-01 21:45:00,170.662,68.268,194.333,172.239,191.433
2023-01-01 22:00:00,172.641,145.159,164.779,120.191,215.749
2023-01-01 22:15:00,207.179,114.723,244.915,155.870,217.205
2023-01-01 22:30:00,201.835,163.031,238.814,194.087,221.687
2023-01-01 22:45:00,260.585,186.811,293.633,251.672,246.734
2023-01-01 23:00:00,258.583,175.258,356.862,190.660,246.896
2023-01-01 23:15:00,291.346,188.352,342.860,301.497,218.880
2023-01-01 23:30:00,331.768,233.186,399.896,324.491,251.783
2023-01-01 23:45:00,337.761,196.284,316.674,295.966,243.559
2023-01-02 00:00:00,386.640,284.677,413.824,357.812,272.644
2023-01-02 00:15:00,414.541,273.032,493.167,338.019,289.715
2023-01-02 00:30:00,444.501,326.301,520.258,424.434,299.743
2023-01-02 00:45:00,494.868,318.606,556.986,436.661,307.409
2023-01-02 01:00:00,474.244,311.821,559.894,428.473,286.973
2023-01-02 01:15:00,518.200,343.427,625.604,474.327,299.913
2023-01-02 01:30:00,541.758,366.543,607.892,524.999,369.677
2023-01-02 01:45:00,565.719,412.989,630.640,530.742,368.649
2023-01-02 02:00:00,595.576,376.173,676.721,540.020,364.423
2023-01-02 02:15:00,553.910,356.844,652.936,496.633,290.148
2023-01-02 02:30:00,667.697,433.522,749.528,619.241,372.331
2023-01-02 02:45:00,653.847,367.114,779.217,599.658,390.571
2023-01-02 03:00:00,611.069,383.322,687.305,556.863,379.685
2023-01-02 03:15:00,610.047,384.285,683.649,561.376,358.441
2023-01-02 03:30:00,589.815,449.332,753.373,536.680,365.943
2023-01-02 03:45:00,617.806,408.035,670.970,533.945,365.441
2023-01-02 04:00:00,640.791,428.851,761.924,588.261,396.768
2023-01-02 04:15:00,633.731,375.208,670.984,582.554,372.831
2023-01-02 04:30:00,602.886,390.308,714.380,557.583,359.882
2023-01-02 04:45:00,671.642,459.970,858.526,595.836,379.679
2023-01-02 05:00:00,605.599,456.555,730.264,539.553,375.845
2023-01-02 05:15:00,634.352,395.221,772.323,619.667,381.235
2023-01-02 05:30:00,652.464,378.712,747.259,583.974,360.166
2023-01-02 05:45:00,590.947,364.731,709.741,554.874,363.364
2023-01-02 06:00:00,647.390,401.520,752.455,578.068,382.319
2023-01-02 06:15:00,595.438,367.985,749.584,506.199,375.519
2023-01-02 06:30:00,625.184,429.057,683.549,572.883,368.457
2023-01-02 06:45:00,586.914,390.064,712.951,553.443,337.235
2023-01-02 07:00:00,622.767,376.588,729.869,565.604,360.977
2023-01-02 07:15:00,650.699,458.360,719.094,554.727,413.297
2023-01-02 07:30:00,596.801,435.247,677.539,499.925,354.893
2023-01-02 07:45:00,578.114,333.149,613.601,557.244,369.845
2023-01-02 08:00:00,540.477,380.751,517.074,496.925,311.524
2023-01-02 08:15:00,539.388,346.349,581.910,509.594,342.882
2023-01-02 08:30:00,582.621,355.154,657.597,541.108,325.448
2023-01-02 08:45:00,551.063,321.811,636.320,481.669,341.688
2023-01-02 09:00:00,550.601,346.571,591.278,500.925,326.913
2023-01-02 09:15:00,543.426,340.181,614.809,462.618,320.730
2023-01-02 09:30:00,480.672,316.124,560.338,463.026,293.495
2023-01-02 09:45:00,511.209,385.937,569.445,477.337,320.635
2023-01-02 10:00:00,447.941,278.463,480.544,428.399,264.967
2023-01-02 10:15:00,411.916,232.581,450.300,407.357,258.860
2023-01-02 10:30:00,448.098,283.009,558.083,404.410,300.924
2023-01-02 10:45:00,416.028,296.469,423.178,366.435,254.963
2023-01-02 11:00:00,400.503,254.135,497.518,366.134,252.812
2023-01-02 11:15:00,422.209,290.723,529.232,416.320,321.044
2023-01-02 11:30:00,363.681,240.643,406.834,300.130,293.755
2023-01-02 11:45:00,362.172,236.941,431.222,333.653,249.884
2023-01-02 12:00:00,360.399,273.940,389.470,349.276,270.083
2023-01-02 12:15:00,355.784,207.056,417.718,334.096,247.481
2023-01-02 12:30:00,315.661,179.163,434.256,314.017,232.193
2023-01-02 12:45:00,305.085,175.585,391.524,246.907,185.593
2023-01-02 13:00:00,338.849,228.885,373.564,335.662,283.057
2023-01-02 13:15:00,351.866,230.049,362.431,309.984,270.729
2023-01-02 13:30:00,331.410,233.170,371.724,258.805,265.928
2023-01-02 13:45:00,340.563,219.465,400.393,306.128,265.807
2023-01-02 14:00:00,318.912,202.403,389.840,274.943,243.980
2023-01-02 14:15:00,345.998,233.128,394.403,314.709,249.657
2023-01-02 14:30:00,348.747,269.097,458.212,287.409,258.876
2023-01-02 14:45:00,329.927,185.396,380.460,300.823,278.353
2023-01-02 15:00:00,375.719,221.214,416.865,333.014,270.703
2023-01-02 15:15:00,350.285,228.713,419.613,365.996,295.054
2023-01-02 15:30:00,318.724,257.982,388.934,297.049,233.505
2023-01-02 15:45:00,358.576,206.283,387.952,334.912,236.610
2023-01-02 16:00:00,322.550,209.408,340.897,291.727,232.425
2023-01-02 16:15:00,353.369,207.755,353.832,352.545,258.469
2023-01-02 16:30:00,355.682,241.148,399.788,337.904,287.271
2023-01-02 16:45:00,312.522,151.532,398.336,320.808,236.284
2023-01-02 17:00:00,337.462,193.446,409.397,333.660,228.740
2023-01-02 17:15:00,317.635,238.422,401.244,283.750,247.289
2023-01-02 17:30:00,313.708,204.143,339.825,304.662,267.476
2023-01-02 17:45:00,320.104,189.434,362.891,312.406,247.961
2023-01-02 18:00:00,267.563,172.771,246.714,266.942,230.656
2023-01-02 18:15:00,243.471,156.674,312.243,232.824,216.902
2023-01-02 18:30:00,225.556,160.631,302.357,177.954,206.432
2023-01-02 18:45:00,211.201,85.386,208.751,193.663,247.684
2023-01-02 19:00:00,208.931,109.889,292.295,194.661,227.218
2023-01-02 19:15:00,200.768,106.628,223.380,186.269,234.038
2023-01-02 19:30:00,187.859,137.844,181.373,198.073,247.068
2023-01-02 19:45:00,188.107,122.112,206.213,158.907,218.399
2023-01-02 20:00:00,162.267,141.489,206.717,152.280,176.434
2023-01-02 20:15:00,181.797,138.897,207.343,165.723,208.612
2023-01-02 20:30:00,147.145,86.996,150.719,150.411,213.259
2023-01-02 20:45:00,199.995,128.758,248.949,223.819,209.605
2023-01-02 21:00:00,167.242,141.055,214.232,167.559,180.685
2023-01-02 21:15:00,145.378,130.326,161.619,145.985,202.878
2023-01-02 21:30:00,148.599,94.198,159.473,114.275,156.513
2023-01-02 21:45:00,187.545,97.279,198.218,138.583,197.564
2023-01-02 22:00:00,194.808,74.104,239.344,184.849,211.583
2023-01-02 22:15:00,235.706,100.682,219.727,212.747,212.344
2023-01-02 22:30:00,250.235,174.455,263.366,240.343,231.353
2023-01-02 22:45:00,271.086,187.506,306.564,235.915,240.180
2023-01-02 23:00:00,286.287,169.202,304.007,294.248,244.596
2023-01-02 23:15:00,307.683,232.531,361.963,256.753,239.681
2023-01-02 23:30:00,362.479,230.438,422.079,329.169,257.739
2023-01-02 23:45:00,404.044,247.919,544.032,363.111,279.541
2023-01-03 00:00:00,397.686,287.775,432.979,390.021,254.384
2023-01-03 00:15:00,414.231,295.214,476.009,376.008,310.463
2023-01-03 00:30:00,474.884,307.385,515.495,424.177,319.694
2023-01-03 00:45:00,480.034,324.961,614.113,443.407,315.048
2023-01-03 01:00:00,530.555,360.954,664.578,470.753,320.029
2023-01-03 01:15:00,554.106,414.551,587.049,509.288,343.962
2023-01-03 01:30:00,577.386,372.025,658.731,528.341,352.912
2023-01-03 01:45:00,591.219,354.796,681.055,607.485,348.648
2023-01-03 02:00:00,598.590,404.720,677.492,540.528,378.338
2023-01-03 02:15:00,636.865,415.517,716.910,583.949,354.397
2023-01-03 02:30:00,643.338,420.978,764.508,596.671,360.945
2023-01-03 02:45:00,648.705,420.878,803.222,602.818,399.490
2023-01-03 03:00:00,597.985,348.907,713.509,573.096,386.268
2023-01-03 03:15:00,659.971,435.516,786.619,649.441,389.010
2023-01-03 03:30:00,644.597,410.009,729.932,575.406,360.069
2023-01-03 03:45:00,668.238,426.628,801.029,624.429,411.096
2023-01-03 04:00:00,610.051,386.578,734.008,557.629,367.828
2023-01-03 04:15:00,737.335,478.288,832.747,685.616,417.151
2023-01-03 04:30:00,673.505,444.289,767.071,644.052,417.208
2023-01-03 04:45:00,659.102,427.684,707.560,642.183,398.667
2023-01-03 05:00:00,645.423,448.396,698.954,613.032,371.541
2023-01-03 05:15:00,651.902,442.640,735.807,606.686,352.492
2023-01-03 05:30:00,676.611,437.970,743.870,645.061,384.961
2023-01-03 05:45:00,595.716,361.331,710.815,529.548,366.816
2023-01-03 06:00:00,625.652,421.187,714.413,559.633,381.736
2023-01-03 06:15:00,590.752,376.116,696.408,547.198,334.233
2023-01-03 06:30:00,603.200,387.811,654.615,580.547,349.592
2023-01-03 06:45:00,602.853,358.888,734.842,548.121,307.957
2023-01-03 07:00:00,632.864,421.701,743.460,578.046,379.381
2023-01-03 07:15:00,560.535,429.182,657.558,472.079,313.360
2023-01-03 07:30:00,572.601,359.533,688.790,579.335,340.789
2023-01-03 07:45:00,571.771,387.216,667.738,520.971,332.551
2023-01-03 08:00:00,518.526,368.189,563.876,416.738,339.523
2023-01-03 08:15:00,587.387,368.727,695.555,544.072,361.865
2023-01-03 08:30:00,537.745,288.905,593.210,505.129,321.891
2023-01-03 08:45:00,486.355,333.519,566.057,442.387,317.319
2023-01-03 09:00:00,507.585,331.913,558.992,446.954,335.193
2023-01-03 09:15:00,482.829,321.622,608.445,463.955,318.598
2023-01-03 09:30:00,474.014,309.481,566.545,453.322,248.845
2023-01-03 09:45:00,448.217,320.336,547.688,423.933,340.840
2023-01-03 10:00:00,464.377,299.407,509.738,410.414,315.430
2023-01-03 10:15:00,411.978,322.058,483.340,365.627,305.011
2023-01-03 10:30:00,455.539,313.551,529.956,411.386,289.210
2023-01-03 10:45:00,425.695,301.989,493.079,382.521,273.468
2023-01-03 11:00:00,347.344,225.938,337.448,333.315,249.393
2023-01-03 11:15:00,384.661,257.800,505.217,345.201,309.867
2023-01-03 11:30:00,337.341,177.031,386.712,289.455,249.215
2023-01-03 11:45:00,381.982,233.863,455.337,360.733,271.647
2023-01-03 12:00:00,355.511,258.024,366.766,379.356,295.618
2023-01-03 12:15:00,369.206,238.312,471.427,322.359,261.186
2023-01-03 12:30:00,342.745,194.662,438.297,299.715,257.380
2023-01-03 12:45:00,350.057,210.432,429.906,319.360,236.160
2023-01-03 13:00:00,284.964,167.920,336.440,278.806,268.996
2023-01-03 13:15:00,325.495,210.599,449.056,311.902,236.532
2023-01-03 13:30:00,314.578,183.621,393.224,286.812,242.728
2023-01-03 13:45:00,301.554,231.586,303.071,267.835,180.458
2023-01-03 14:00:00,355.822,236.489,416.379,373.541,259.258
2023-01-03 14:15:00,323.296,175.254,390.470,322.599,247.929
2023-01-03 14:30:00,293.685,229.299,341.100,308.365,229.976
2023-01-03 14:45:00,338.319,218.763,407.406,326.717,224.032
2023-01-03 15:00:00,355.509,243.730,454.954,325.012,272.019
2023-01-03 15:15:00,343.447,230.909,388.927,324.744,223.175
2023-01-03 15:30:00,291.923,200.186,323.555,308.316,206.948
2023-01-03 15:45:00,310.149,193.009,321.935,296.642,239.378
2023-01-03 16:00:00,340.214,229.408,331.536,275.194,277.894
2023-01-03 16:15:00,303.536,193.567,339.074,310.104,240.552
2023-01-03 16:30:00,317.639,215.518,343.611,325.159,252.418
2023-01-03 16:45:00,316.488,201.074,357.349,318.389,234.510
2023-01-03 17:00:00,277.925,173.400,300.886,226.152,219.047
2023-01-03 17:15:00,283.517,147.735,291.663,269.347,249.269
2023-01-03 17:30:00,214.246,139.130,228.768,219.665,227.879
2023-01-03 17:45:00,240.893,162.196,293.444,221.973,236.349
2023-01-03 18:00:00,240.237,202.376,259.144,229.399,227.193
2023-01-03 18:15:00,206.789,146.397,231.770,202.565,208.616
2023-01-03 18:30:00,242.536,139.531,345.945,204.952,191.186
2023-01-03 18:45:00,171.108,85.853,231.179,167.759,178.218
2023-01-03 19:00:00,172.875,119.055,206.097,137.361,176.302
2023-01-03 19:15:00,168.509,90.907,202.136,152.769,188.691
2023-01-03 19:30:00,178.605,101.881,182.665,151.633,205.453
2023-01-03 19:45:00,113.334,54.964,116.896,123.526,159.261
2023-01-03 20:00:00,148.454,88.281,161.849,151.292,134.504
2023-01-03 20:15:00,124.821,99.537,146.905,127.318,192.647
2023-01-03 20:30:00,99.687,15.050,113.228,97.914,143.722
2023-01-03 20:45:00,129.868,116.780,113.238,129.069,156.785
2023-01-03 21:00:00,114.393,69.252,150.625,149.436,177.365
2023-01-03 21:15:00,114.635,58.661,113.478,134.599,156.568
2023-01-03 21:30:00,144.513,116.127,227.705,111.797,178.235
2023-01-03 21:45:00,138.651,84.967,199.437,115.808,181.453
2023-01-03 22:00:00,164.842,80.976,136.399,147.065,188.633
2023-01-03 22:15:00,197.941,90.616,219.530,176.774,194.663
2023-01-03 22:30:00,231.230,167.685,317.379,194.538,214.728
2023-01-03 22:45:00,207.251,153.707,259.545,203.578,244.748
2023-01-03 23:00:00,294.726,181.245,341.785,269.804,261.210
2023-01-03 23:15:00,246.898,193.517,209.525,231.931,236.047
2023-01-03 23:30:00,327.898,214.029,370.120,264.061,259.808
2023-01-03 23:45:00,363.679,269.591,424.962,299.982,295.918
2023-01-04 00:00:00,377.246,221.276,368.042,335.160,288.309
2023-01-04 00:15:00,399.345,232.579,478.875,380.772,304.825
2023-01-04 00:30:00,422.486,261.774,463.399,399.203,314.717
2023-01-04 00:45:00,437.600,274.451,512.881,424.757,308.899
2023-01-04 01:00:00,463.434,330.009,537.168,410.943,316.577
2023-01-04 01:15:00,521.571,346.355,591.634,494.931,324.430
2023-01-04 01:30:00,515.545,316.123,618.207,507.967,362.698
2023-01-04 01:45:00,523.230,340.378,610.716,501.757,329.825
2023-01-04 02:00:00,566.119,357.276,737.946,492.398,327.858
2023-01-04 02:15:00,616.496,380.629,765.864,591.549,374.652
2023-01-04 02:30:00,541.829,350.196,590.706,505.662,334.614
2023-01-04 02:45:00,595.476,382.288,722.776,557.829,341.289
2023-01-04 03:00:00,612.888,379.235,681.249,618.760,349.304
2023-01-04 03:15:00,587.716,362.607,638.296,546.124,356.962
2023-01-04 03:30:00,626.021,427.279,672.688,589.826,373.384
2023-01-04 03:45:00,609.299,406.630,689.233,562.619,339.228
2023-01-04 04:00:00,579.504,400.269,698.618,527.792,345.615
2023-01-04 04:15:00,543.826,346.393,630.467,508.341,355.576
2023-01-04 04:30:00,617.863,374.418,726.813,558.817,321.229
2023-01-04 04:45:00,558.372,348.594,538.862,516.903,338.978
2023-01-04 05:00:00,574.903,399.370,653.809,522.273,350.529
2023-01-04 05:15:00,565.078,327.291,616.161,474.148,357.936
2023-01-04 05:30:00,614.863,435.779,656.533,554.856,362.189
2023-01-04 05:45:00,650.842,395.293,709.945,619.797,373.364
2023-01-04 06:00:00,589.541,402.694,680.242,553.812,366.815
2023-01-04 06:15:00,568.646,344.108,674.991,518.000,346.538
2023-01-04 06:30:00,555.656,346.297,609.872,513.372,374.082
2023-01-04 06:45:00,566.272,316.640,670.063,503.250,357.698
2023-01-04 07:00:00,602.739,438.125,719.275,539.168,375.752
2023-01-04 07:15:00,529.742,358.703,619.751,487.510,333.254
2023-01-04 07:30:00,483.682,330.236,528.770,440.241,347.317
2023-01-04 07:45:00,536.248,336.240,600.771,476.770,324.420
2023-01-04 08:00:00,536.605,325.525,627.585,492.210,313.958
2023-01-04 08:15:00,477.018,329.475,525.668,414.378,309.120
2023-01-04 08:30:00,477.563,280.338,569.890,473.990,306.298
2023-01-04 08:45:00,522.044,335.150,564.895,499.983,326.328
2023-01-04 09:00:00,440.886,255.308,519.209,357.839,331.952
2023-01-04 09:15:00,407.833,268.190,498.030,393.655,268.895
2023-01-04 09:30:00,470.351,257.805,547.030,424.520,307.038
2023-01-04 09:45:00,420.768,236.485,452.188,375.080,258.914
2023-01-04 10:00:00,382.594,227.191,387.810,368.553,307.112
2023-01-04 10:15:00,358.063,248.109,376.339,326.270,221.396
2023-01-04 10:30:00,387.333,238.484,461.029,347.829,277.534
2023-01-04 10:45:00,345.143,248.933,390.323,288.301,233.915
2023-01-04 11:00:00,339.746,258.352,371.491,332.709,230.842
2023-01-04 11:15:00,304.919,190.481,363.384,303.329,226.065
2023-01-04 11:30:00,321.158,171.791,305.780,299.014,228.615
2023-01-04 11:45:00,282.874,208.010,316.917,234.595,237.998
2023-01-04 12:00:00,268.979,136.297,273.911,254.118,204.640
2023-01-04 12:15:00,250.534,140.265,244.897,244.595,238.940
2023-01-04 12:30:00,272.324,134.484,296.705,249.954,252.919
2023-01-04 12:45:00,253.310,188.730,370.416,252.440,251.099
2023-01-04 13:00:00,252.369,178.342,310.453,235.909,193.402
2023-01-04 13:15:00,262.423,211.032,265.607,248.119,210.889
2023-01-04 13:30:00,266.506,162.198,345.231,277.756,217.935
2023-01-04 13:45:00,255.042,145.178,251.485,223.818,211.848
2023-01-04 14:00:00,252.838,151.224,339.317,198.113,235.568
2023-01-04 14:15:00,262.162,137.086,273.278,237.471,230.589
2023-01-04 14:30:00,230.406,185.480,268.472,199.571,195.460
2023-01-04 14:45:00,228.173,232.728,329.139,178.637,206.187
2023-01-04 15:00:00,248.161,143.209,274.173,241.989,218.668
2023-01-04 15:15:00,260.215,183.957,358.055,239.416,220.997
2023-01-04 15:30:00,265.364,168.600,302.861,204.069,212.893
2023-01-04 15:45:00,288.252,198.407,328.702,299.208,215.328
2023-01-04 16:00:00,268.493,201.013,280.412,231.000,240.923
2023-01-04 16:15:00,247.475,132.281,329.793,214.127,197.703
2023-01-04 16:30:00,246.918,148.532,268.096,247.879,231.507
2023-01-04 16:45:00,221.615,174.129,315.823,213.307,212.926
2023-01-04 17:00:00,230.980,162.858,245.539,236.523,196.985
2023-01-04 17:15:00,215.151,148.031,232.854,149.979,215.245
2023-01-04 17:30:00,214.026,151.859,278.257,190.611,192.720
2023-01-04 17:45:00,179.909,132.138,203.425,168.462,202.139
2023-01-04 18:00:00,189.427,152.072,227.071,202.907,181.601
2023-01-04 18:15:00,191.987,143.636,178.897,158.045,198.758
2023-01-04 18:30:00,146.348,93.858,171.827,127.146,177.659
2023-01-04 18:45:00,139.258,99.344,172.021,131.215,164.565
2023-01-04 19:00:00,128.307,81.714,202.730,134.793,165.654
2023-01-04 19:15:00,92.092,41.206,90.596,60.320,145.254
2023-01-04 19:30:00,90.041,57.236,114.348,100.694,177.092
2023-01-04 19:45:00,72.703,44.411,122.335,53.904,136.474
2023-01-04 20:00:00,67.490,1.416,78.977,70.348,145.714
2023-01-04 20:15:00,41.207,46.158,82.145,33.664,98.848
2023-01-04 20:30:00,49.493,55.782,136.862,51.583,127.427
2023-01-04 20:45:00,59.523,52.285,69.398,59.427,155.236
2023-01-04 21:00:00,76.571,71.889,130.413,98.540,159.177
2023-01-04 21:15:00,81.901,48.838,110.661,70.165,160.616
2023-01-04 21:30:00,103.422,54.372,146.373,88.496,160.850
2023-01-04 21:45:00,60.005,62.726,91.566,78.709,148.533
2023-01-04 22:00:00,100.693,38.981,149.925,123.444,186.260
2023-01-04 22:15:00,120.852,51.218,170.989,102.466,151.703
2023-01-04 22:30:00,175.748,125.440,199.862,176.920,212.373
2023-01-04 22:45:00,139.529,101.213,142.667,109.581,159.942
2023-01-04 23:00:00,188.412,145.719,230.285,188.698,200.813
2023-01-04 23:15:00,217.344,98.513,203.447,220.199,191.521
2023-01-04 23:30:00,212.862,135.917,264.587,189.779,220.403
2023-01-04 23:45:00,287.325,158.502,354.292,288.778,211.743
2023-01-05 00:00:00,297.034,214.454,335.865,267.491,220.727
2023-01-05 00:15:00,325.973,245.226,376.283,300.424,248.367
2023-01-05 00:30:00,355.451,243.656,437.949,335.620,248.000
2023-01-05 00:45:00,436.674,269.892,526.084,380.619,281.884
2023-01-05 01:00:00,439.858,267.193,535.494,374.774,293.818
2023-01-05 01:15:00,432.203,270.636,521.898,403.782,270.361
2023-01-05 01:30:00,430.156,258.573,498.081,379.421,294.367
2023-01-05 01:45:00,497.456,319.365,571.599,430.804,325.609
2023-01-05 02:00:00,455.618,277.380,537.476,436.087,273.907
2023-01-05 02:15:00,536.186,313.979,663.125,526.661,338.870
2023-01-05 02:30:00,563.785,375.976,656.810,537.542,349.171
2023-01-05 02:45:00,500.055,336.481,616.828,433.989,327.883
2023-01-05 03:00:00,463.408,343.701,467.871,430.257,307.447
2023-01-05 03:15:00,531.566,334.688,621.593,482.233,338.957
2023-01-05 03:30:00,549.859,310.153,634.983,487.108,346.215
2023-01-05 03:45:00,558.253,383.247,588.685,515.466,347.718
2023-01-05 04:00:00,497.588,346.626,523.739,456.295,325.738
2023-01-05 04:15:00,504.819,356.682,595.304,459.314,349.668
2023-01-05 04:30:00,535.978,385.169,619.802,514.838,357.965
2023-01-05 04:45:00,502.817,363.969,603.535,491.189,319.080
2023-01-05 05:00:00,517.832,312.171,512.409,469.293,315.902
2023-01-05 05:15:00,509.319,369.759,619.938,464.627,346.596
2023-01-05 05:30:00,471.455,298.245,576.631,428.293,349.772
2023-01-05 05:45:00,490.740,338.942,520.087,462.810,315.787
2023-01-05 06:00:00,497.945,330.151,617.692,465.401,328.172
2023-01-05 06:15:00,508.700,306.337,642.299,452.394,317.618
2023-01-05 06:30:00,514.346,363.334,548.821,470.366,335.297
2023-01-05 06:45:00,382.623,237.302,443.461,319.080,237.367
2023-01-05 07:00:00,437.681,330.962,509.675,368.094,285.633
2023-01-05 07:15:00,491.072,300.116,507.208,425.808,329.454
2023-01-05 07:30:00,509.792,306.254,575.700,463.478,308.167
2023-01-05 07:45:00,421.759,257.572,529.955,401.465,298.686
2023-01-05 08:00:00,481.026,350.047,525.660,425.329,321.772
2023-01-05 08:15:00,472.958,268.243,602.419,432.347,319.608
2023-01-05 08:30:00,418.526,294.868,493.098,389.855,278.278
2023-01-05 08:45:00,421.660,319.888,459.585,421.718,302.438
2023-01-05 09:00:00,418.629,267.875,482.868,386.368,320.723
2023-01-05 09:15:00,404.679,253.214,418.550,374.514,273.038
